From Date,To Date,PM10,Temp
1-1-2019 ,2-1-2019 ,247.18,17.15
2-1-2019 ,3-1-2019 ,217.7,17.66
3-1-2019 ,4-1-2019 ,234.4,16.65
4-1-2019 ,5-1-2019 ,255.55,16.37
5-1-2019 ,6-1-2019 ,211.6,17.97
6-1-2019 ,7-1-2019 ,161.15,16.8
7-1-2019 ,8-1-2019 ,211.01,14.46
8-1-2019 ,9-1-2019 ,253.56,10.49
9-1-2019 ,10-1-2019 ,391.48,14.24
10-1-2019 ,11-1-2019 ,257.06,15.13
11-1-2019 ,12-1-2019 ,250.59,16.15
12-1-2019 ,13-01-2019,265.24,15.81
13-01-2019,14-01-2019,238.44,16.5
14-01-2019,15-01-2019,211.38,16.17
15-01-2019,16-01-2019,248.38,15.99
16-01-2019,17-01-2019,247.5,17.25
17-01-2019,18-01-2019,246.77,18.24
18-01-2019,19-01-2019,250.36,17.71
19-01-2019,20-01-2019,226.83,18.64
20-01-2019,21-01-2019,195.57,19.54
21-01-2019,22-01-2019,195.18,19.16
22-01-2019,23-01-2019,114.12,14.36
23-01-2019,24-01-2019,161.75,16.72
24-01-2019,25-01-2019,167.79,15.03
25-01-2019,26-01-2019,102.75,14.38
26-01-2019,27-01-2019,111.66,13.56
27-01-2019,28-01-2019,124.6,13.09
28-01-2019,29-01-2019,172.47,13.35
29-01-2019,30-01-2019,244.1,10.91
30-01-2019,31-01-2019,203.59,14.63
31-01-2019,1-2-2019 ,200.3,16.22
1-2-2019 ,2-2-2019 ,114.11,18.27
2-2-2019 ,3-2-2019 ,114.23,14.45
3-2-2019 ,4-2-2019 ,159.04,16.49
4-2-2019 ,5-2-2019 ,245.92,19.77
5-2-2019 ,6-2-2019 ,244.42,21.35
6-2-2019 ,7-2-2019 ,162.11,20.28
7-2-2019 ,8-2-2019 ,199.05,16.07
8-2-2019 ,9-2-2019 ,205.45,13.61
9-2-2019 ,10-2-2019 ,122.69,14.36
10-2-2019 ,11-2-2019 ,137.71,14.75
11-2-2019 ,12-2-2019 ,194.26,16.28
12-2-2019 ,13-02-2019,241.33,18.75
13-02-2019,14-02-2019,211.38,21.48
14-02-2019,15-02-2019,156.35,21.46
15-02-2019,16-02-2019,185.08,19.14
16-02-2019,17-02-2019,160.11,18.11
17-02-2019,18-02-2019,132.46,18.9
18-02-2019,19-02-2019,127.18,21.81
19-02-2019,20-02-2019,135.65,22.23
20-02-2019,21-02-2019,183.96,23.83
21-02-2019,22-02-2019,141.02,23.85
22-02-2019,23-02-2019,108.98,22.27
23-02-2019,24-02-2019,140.21,19.94
24-02-2019,25-02-2019,159.29,22.26
25-02-2019,26-02-2019,141.69,21.24
26-02-2019,27-02-2019,134.99,19.37
27-02-2019,28-02-2019,106.02,18.5
28-02-2019,1-3-2019 ,117.27,17.54
1-3-2019 ,2-3-2019 ,169.97,19.07
2-3-2019 ,3-3-2019 ,193.16,21.26
3-3-2019 ,4-3-2019 ,158.6,22.06
4-3-2019 ,5-3-2019 ,161.27,21.1
5-3-2019 ,6-3-2019 ,98.14,20.37
6-3-2019 ,7-3-2019 ,110.68,20.84
7-3-2019 ,8-3-2019 ,104.63,22.08
8-3-2019 ,9-3-2019 ,88.28,22.86
9-3-2019 ,10-3-2019 ,58.12,22.89
10-3-2019 ,11-3-2019 ,75.3,22.89
11-3-2019 ,12-3-2019 ,89.5,23.18
12-3-2019 ,13-03-2019,86.92,22.06
13-03-2019,14-03-2019,102.79,21.33
14-03-2019,15-03-2019,81.02,21.99
15-03-2019,16-03-2019,72.06,21.77
16-03-2019,17-03-2019,78.16,22.05
17-03-2019,18-03-2019,71.99,23.44
18-03-2019,19-03-2019,69.66,24.22
19-03-2019,20-03-2019,80.42,25.6
20-03-2019,21-03-2019,66.79,25.55
21-03-2019,22-03-2019,43.94,25.18
22-03-2019,23-03-2019,62.99,25.64
23-03-2019,24-03-2019,79.49,26.27
24-03-2019,25-03-2019,88.83,27.22
25-03-2019,26-03-2019,82.64,27.84
26-03-2019,27-03-2019,78.09,26.99
27-03-2019,28-03-2019,68.24,26.57
28-03-2019,29-03-2019,100.75,25.73
29-03-2019,30-03-2019,78.04,32.07
30-03-2019,31-03-2019,74.22,31.79
31-03-2019,1-4-2019 ,68.81,30.21
1-4-2019 ,2-4-2019 ,71.69,29.69
